"country","count"
"New Zealand",58
"Scotland",55
"France",53
"Ireland",47
"Fiji",44
"Argentina",42
"South Africa",38
"Wales",38
"Samoa",37
"Portugal",37
"Tonga",33
"Georgia",32
"Australia",31
"Italy",28
"England",27
"Chile",21
"Japan",19
"Uruguay",12
"Namibia",9
"Romania",6
