"country","count"
"New Zealand",88
"France",55
"Scotland",45
"Ireland",44
"Argentina",44
"England",39
"South Africa",38
"Portugal",31
"Fiji",28
"Wales",28
"Italy",27
"Tonga",24
"Japan",24
"Australia",21
"Georgia",21
"Uruguay",21
"Samoa",15
"Chile",15
"Romania",11
"Namibia",10
