"country","count"
"New Zealand",49
"France",30
"Ireland",30
"South Africa",27
"Scotland",21
"England",21
"Wales",19
"Argentina",19
"Italy",15
"Tonga",13
"Fiji",12
"Japan",12
"Samoa",11
"Australia",11
"Uruguay",9
"Portugal",8
"Georgia",7
"Chile",4
"Romania",4
"Namibia",3
