"country","count"
"New Zealand",35
"France",25
"Ireland",25
"South Africa",19
"Scotland",19
"Argentina",18
"Wales",16
"England",16
"Italy",15
"Fiji",11
"Japan",11
"Samoa",8
"Tonga",8
"Australia",7
"Portugal",6
"Uruguay",6
"Georgia",4
"Romania",3
"Chile",2
"Namibia",2
