"country","count"
"Argentina",7
"England",7
"New Zealand",7
"South Africa",7
"France",5
"Ireland",5
"Wales",5
"Fiji",5
"Chile",4
"Tonga",4
"Scotland",4
"Samoa",4
"Georgia",4
"Italy",4
"Japan",4
"Uruguay",4
"Romania",4
"Namibia",4
"Portugal",4
"Australia",4
