"country","count"
"South Africa",974
"England",874
"New Zealand",864
"Wales",837
"Argentina",782
"Japan",665
"Ireland",632
"Georgia",599
"Portugal",592
"France",576
"Romania",570
"Tonga",565
"Italy",553
"Chile",529
"Uruguay",507
"Fiji",499
"Scotland",492
"Samoa",438
"Australia",433
"Namibia",408
