"country","count"
"New Zealand",975
"Argentina",919
"England",702
"Fiji",690
"Ireland",688
"South Africa",666
"France",630
"Scotland",605
"Wales",547
"Portugal",473
"Italy",464
"Georgia",456
"Australia",443
"Tonga",430
"Samoa",410
"Chile",409
"Uruguay",397
"Namibia",368
"Japan",358
"Romania",324
