"type","year","count","prop"
"Abductions, threats",2019,234,4.45120791325851
"Robbery, extortion",2019,266,5.05992010652463
"Unlawful entry, burglary",2019,682,12.9731786189842
"Theft",2019,1360,25.8702682138102
"Deceptions",2019,98,1.8641810918775
"Illicit drugs",2019,253,4.81263077801027
"Weapon offences",2019,119,2.26364846870839
"Property damage",2019,448,8.5219707057257
"Public disorder",2019,479,9.11166064295225
"Road traffic",2019,166,3.157694502568
"Against justice",2019,41,0.779912497622218
"Miscellaneous",2019,16,0.304356096633061
"Homicides",2020,13,0.18325345362278
"Causing injury",2020,958,13.5043698900479
"Sexual offences",2020,191,2.69241612630392
"Dangerous acts",2020,510,7.18917394981675
"Abductions, threats",2020,279,3.93290104313504
"Robbery, extortion",2020,287,4.0456723992106
"Unlawful entry, burglary",2020,779,10.9811107978573
"Theft",2020,1495,21.0741471666197
"Deceptions",2020,141,1.98759515083169
"Illicit drugs",2020,432,6.08965322808007
"Weapon offences",2020,208,2.93205525796448
"Property damage",2020,565,7.9644770228362
"Public disorder",2020,583,8.2182125740062
"Road traffic",2020,356,5.01832534536228
"Against justice",2020,256,3.60868339441782
"Miscellaneous",2020,41,0.577953199887229
"Homicides",2021,4,0.0604320894394924
"Causing injury",2021,1018,15.3799667623508
"Sexual offences",2021,190,2.87052424837589
"Dangerous acts",2021,653,9.86553860099713
"Abductions, threats",2021,273,4.12449010424535
"Robbery, extortion",2021,246,3.71657350052878
"Unlawful entry, burglary",2021,659,9.95618673515637
"Theft",2021,1357,20.5015863423478
"Deceptions",2021,121,1.82807070554464
"Illicit drugs",2021,382,5.77126454147152
"Weapon offences",2021,176,2.65901193533766
"Property damage",2021,512,7.73530744825502
"Public disorder",2021,521,7.87127964949388
"Road traffic",2021,421,6.36047741350657
"Against justice",2021,68,1.02734552047137
"Miscellaneous",2021,18,0.271944402477716
